titulo,url_materia,data_coleta
"EXAME - Negócios, Economia, Tecnologia e Carreira",https://exame.com/,2026-09-16 00:57:54
De avanços a contradições: o que os países do BRICS ensinam diante da crise climática,https://exame.com/esg/de-avancos-a-contradicoes-o-que-os-paises-do-brics-ensinam-diante-da-crise-climatica/,2026-09-16 00:57:54
China estabelece meta para veículos de nova energia chegarem a 70% das vendas de carros até 2030,https://exame.com/esg/china-estabelece-meta-para-veiculos-de-nova-energia-chegarem-a-70-das-vendas-de-carros-ate-2030/,2026-09-16 00:57:54
99 integra mais de 150 estações de recarga elétrica no Rio e oferece até 20% de desconto,https://exame.com/esg/99-integra-mais-de-150-estacoes-de-recarga-eletrica-no-rio-e-oferece-ate-20-de-desconto/,2026-09-16 00:57:54
Seu CEP é de risco? Plataforma gratuita mostra exposição de imóveis a eventos climáticos extremos,https://exame.com/esg/seu-cep-e-de-risco-plataforma-gratuita-mostra-exposicao-de-imoveis-a-eventos-climaticos-extremos/,2026-09-16 00:57:54
"Entre a crise climática e os combustíveis fósseis, um novo roteiro",https://exame.com/esg/entre-a-crise-climatica-e-os-combustiveis-fosseis-um-novo-roteiro/,2026-09-16 00:57:54
Resiliência: a nova fronteira da agenda climática,https://exame.com/esg/resiliencia-a-nova-fronteira-da-agenda-climatica/,2026-09-16 00:57:54
"Após a quarta volta ao mundo, família Schurmann lança fundo que mira US$ 6,3 milhões para o oceano",https://exame.com/esg/apos-a-quarta-volta-ao-mundo-familia-schurmann-lanca-fundo-que-mira-us-63-milhoes-para-o-oceano/,2026-09-16 00:57:54
Comgás cria novo modelo regulado para venda direta de biometano em São Paulo,https://exame.com/esg/comgas-cria-novo-modelo-regulado-para-venda-direta-de-biometano-em-sao-paulo/,2026-09-16 00:57:54
Empresas pedem que Brasil acelere agenda de adaptação diante dos riscos do El Niño,https://exame.com/esg/empresas-pedem-que-brasil-acelere-agenda-de-adaptacao-diante-dos-riscos-do-el-nino/,2026-09-16 00:57:54
Desigualdade climática: abismo de 15ºC separa Morumbi e Paraisópolis no verão em São Paulo,https://exame.com/esg/desigualdade-climatica-abismo-de-15oc-separa-morumbi-e-paraisopolis-no-verao-em-sao-paulo/,2026-09-16 00:57:54
Acordo entre consultoria brasileira e Banco Mundial mira financiamento de baterias na América Latina,https://exame.com/esg/acordo-entre-consultoria-brasileira-e-banco-mundial-mira-financiamento-de-baterias-na-america-latina/,2026-09-16 00:57:54
Dia do Legado Solidário: como você gostaria de ser lembrado?,https://exame.com/esg/dia-do-legado-solidario-como-voce-gostaria-de-ser-lembrado/,2026-09-16 00:57:54
Indígenas e comunidades brasileiras reivindicam lugar no debate climático,https://exame.com/esg/indigenas-e-comunidades-brasileiras-reivindicam-lugar-no-debate-climatico/,2026-09-16 00:57:54
"""Transição energética fracassará se não houver legitimidade social"", adverte o PNUD",https://exame.com/esg/transicao-energetica-fracassara-se-nao-houver-legitimidade-social-adverte-o-pnud/,2026-09-16 00:57:54
Carlos Nobre alerta que El Niño pode ser o mais forte em 100 anos,https://exame.com/esg/carlos-nobre-alerta-que-el-nino-pode-ser-o-mais-forte-em-100-anos/,2026-09-16 00:57:54
A taça de champanhe francesa vai ficar mais forte: por trás disso está o calor extremo,https://exame.com/esg/a-taca-de-champanhe-francesa-vai-ficar-mais-forte-por-tras-disso-esta-o-calor-extremo/,2026-09-16 00:57:54
Financiamento climático: o desafio de fazer o dinheiro chegar aos territórios,https://exame.com/esg/financiamento-climatico-o-desafio-de-fazer-o-dinheiro-chegar-aos-territorios/,2026-09-16 00:57:54
Potencial verde da América Latina encara desafios geopolíticos e El Niño,https://exame.com/esg/potencial-verde-da-america-latina-encara-desafios-geopoliticos-e-el-nino/,2026-09-16 00:57:54
Água: o ativo estratégico que definirá o futuro do Brasil,https://exame.com/esg/agua-o-ativo-estrategico-que-definira-o-futuro-do-brasil/,2026-09-16 00:57:54
Pesquisadores da UFMG usam inteligência artificial para detalhar mapas de biodiversidade,https://exame.com/esg/pesquisadores-da-ufmg-usam-inteligencia-artificial-para-detalhar-mapas-de-biodiversidade/,2026-09-16 00:57:54
